"","Transcript","Gene"
"286","ENST00000640388.1"," ATM"
"287","ENST00000524310.5"," FYN"
"288","ENST00000527181.1"," ATM"
"289","ENST00000003084.10"," CFTR"
"290","ENST00000368682.7"," FYN"
"291","ENST00000647988.1"," PLAGL1"
"292","ENST00000525056.1"," ATM"
"293","ENST00000647021.1"," CTNNB1"
"294","ENST00000523322.5"," FYN"
"295","ENST00000533979.5"," ATM"
"296","ENST00000484135.1"," PTPRC"
"297","ENST00000495935.1"," FYN"
"298","ENST00000617207.4"," IKBKG"
"299","ENST00000643052.1"," CTNNB1"
"300","ENST00000525537.2"," ATM"
"301","ENST00000425491.6"," MAPK9"
"302","ENST00000420246.6"," TP53"
"303","ENST00000526567.5"," ATM"
"304","ENST00000450969.6"," CTNNB1"
"305","ENST00000642315.1"," CTNNB1"
"306","ENST00000405573.2"," MADD"
"307","ENST00000349496.10"," CTNNB1"
"308","ENST00000374189.5"," MAPK8"
"309","ENST00000618670.4"," IKBKG"
"310","ENST00000539014.5"," MAPK9"
"311","ENST00000547303.5"," DDIT3"
"312","ENST00000536438.5"," FKBP5"
"313","ENST00000510204.5"," SH3BP2"
"314","ENST00000482042.1"," CTNNB1"
"315","ENST00000531525.2"," ATM"
"316","ENST00000650358.1"," CETP"
"317","ENST00000547303.5"," DDIT3"
"318","ENST00000435136.6"," SH3BP2"
"319","ENST00000518630.5"," FYN"
"320","ENST00000360537.6"," PLAGL1"
"321","ENST00000397514.7"," UBE2I"
"322","ENST00000519728.5"," LYN"
"323","ENST00000645210.1"," CTNNB1"
"324","ENST00000325437.9"," UBE2I"
"325","ENST00000465552.2"," CTNNB1"
"326","ENST00000406620.5"," UBE2I"
"327","ENST00000452135.6"," MAPK9"
"328","ENST00000524170.5"," MAPK9"
"329","ENST00000566159.1"," UBE2I"
"330","ENST00000491957.5"," MAPK14"
"331","ENST00000489415.1"," MADD"
"332","ENST00000644395.1"," CTNNB1"
"333","ENST00000643052.1"," CTNNB1"
"334","ENST00000450102.6"," SCN5A"
"335","ENST00000645559.1"," AHR"
"336","ENST00000649781.1"," CFTR"
"337","ENST00000617207.4"," IKBKG"
"338","ENST00000600166.1"," CFTR"
"339","ENST00000623876.2"," DDIT3"
"340","ENST00000342922.8"," MADD"
"341","ENST00000367571.3"," PLAGL1"
"342","ENST00000347470.8"," MAPK9"
"343","ENST00000623876.2"," DDIT3"
"344","ENST00000568989.1"," UBE2I"
"345","ENST00000496250.5"," MAPK14"
"346","ENST00000539068.5"," FKBP5"
"347","ENST00000563038.5"," BCAR1"
"348","ENST00000495935.1"," FYN"
"349","ENST00000566159.1"," UBE2I"
"350","ENST00000215832.10"," MAPK1"
"351","ENST00000496864.6"," FYN"
"352","ENST00000646074.1"," CTNNB1"
"353","ENST00000647880.1"," PLAGL1"
"354","ENST00000618670.4"," IKBKG"
"355","ENST00000526567.5"," ATM"
"356","ENST00000513020.5"," SH3BP2"
"357","ENST00000646369.1"," CTNNB1"
"358","ENST00000646725.1"," CTNNB1"
"359","ENST00000644138.1"," CTNNB1"
"360","ENST00000529828.5"," PTPRC"
"361","ENST00000325437.9"," UBE2I"
"362","ENST00000511185.5"," SH3BP2"
"363","ENST00000643865.1"," CTNNB1"
"364","ENST00000650358.1"," CETP"
"365","ENST00000639953.1"," ATM"
"366","ENST00000400777.7"," CASP9"
"367","ENST00000518630.5"," FYN"
"368","ENST00000491588.1"," MAPK1"
"369","ENST00000405573.2"," MADD"
"370","ENST00000638786.1"," ATM"
"371","ENST00000548375.5"," LTA4H"
"372","ENST00000348549.9"," CASP9"
"373","ENST00000521062.5"," FYN"
